value,description
TIFF,"Tag Image File Format, abbreviated TIFF or TIF, is a computer file format for storing raster graphics images, popular among graphic artists, the publishing industry, and photographers. GeoTIFF is a public domain metadata standard which allows georeferencing information to be embedded within a TIFF file. The potential additional information includes map projection, coordinate systems, ellipsoids, datums, and everything else necessary to establish the exact spatial reference for the file. (https://wikipedia.org/wiki/TIFF / https://wikipedia.org/wiki/GeoTIFF)"
JPEG,"JPEG is a commonly used method of lossy compression for digital images, particularly for those images produced by digital photography. (https://wikipedia.org/wiki/JPEG)"
